,id,大豆油浓度,玉米油浓度,茶油浓度,peak:843,peak:865,peak:966,peak:1077,peak:1263,peak:1301,peak:1438,peak:1651,peak:1656
17,57,30.0,50.0,20.0,8648.4375,8975.333333333334,7074.5625,8260.125,11989.375,13583.373333333331,20191.643333333337,12485.230000000001,12488.980000000001
18,58,20.0,50.0,30.0,8423.677666666666,8708.8445,6715.135166666667,8072.9896666666655,11228.323333333334,13193.470000000001,19530.00833333333,11645.178166666667,11585.78233333333
19,59,25.0,15.0,60.0,6855.198111111114,7244.5314444444475,5122.420333333334,6717.323111111116,8714.948111111113,11134.1022222222,16757.94888888887,9260.295111111112,8983.71177777778
20,61,25.0,5.0,70.0,6822.925222222224,7261.439111111114,5011.272444444447,6842.730777777783,8462.98055555556,11086.203444444434,16663.008888888868,8919.77188888888,8566.632999999989
21,63,15.0,20.0,65.0,8782.055111111113,9239.555111111114,6522.4297777777765,8770.902333333337,10853.6788888889,14061.511111111133,20896.637777777767,11282.63799999999,10860.887888888878
22,68,5.0,5.0,90.0,7978.379333333337,8435.656888888892,5576.990555555557,8123.6015555555605,9118.087444444449,12848.279999999999,19099.087777777768,9447.726000000013,8858.073222222234
23,69,2.5,5.0,92.5,5206.773866666666,5482.448866666667,3601.2907333333333,5160.623866666667,5757.848866666667,8213.4326,12223.072666666667,6007.015533333334,5600.282266666666
24,71,2.5,7.5,90.0,7567.857866666666,7992.7912,5333.0412,7904.7412,8594.299533333333,12093.475333333334,17807.516666666666,8756.949466666667,8200.199466666667
25,72,20.0,20.0,60.0,8705.688666666674,9156.18866666667,6507.174777777777,8560.216333333334,10930.925555555534,13977.244444444465,20849.88444444443,11493.855666666655,11128.425111111099
26,83,20.0,15.0,65.0,7731.172444444447,8152.227999999999,5677.075222222223,7500.491888888887,9645.380555555568,12573.424444444434,18961.423333333336,10348.894888888908,9973.075444444466
27,84,20.0,40.0,40.0,8616.8895,8946.722833333333,6708.056166666666,8221.1395,11280.62,13605.493333333332,20288.891666666666,11839.034833333333,11658.034833333333
28,85,30.0,40.0,30.0,8075.732833333333,8429.753666666666,6473.628666666667,7770.712,10985.358333333332,12791.815,19029.420000000002,11519.190666666667,11435.5865
29,86,25.0,10.0,65.0,8258.300888888893,8745.398111111113,6122.314777777777,8164.509222222223,10365.287333333314,13368.8433333333,20091.814444444433,10953.287333333348,10571.398444444458
30,87,5.0,20.0,75.0,7862.867111111113,8253.783444444447,5603.353222222224,7606.867111111117,9327.908444444447,12686.3111111111,18970.56,9939.144777777801,9462.714222222248
31,88,10.0,15.0,75.0,8238.74777777778,8670.067333333338,6014.622555555557,8420.400555555558,9837.17611111111,13133.843333333332,19395.800000000032,10107.440666666656,9625.0101111111
32,90,5.0,2.5,92.5,6938.164,7348.780666666667,4776.955666666667,6984.905666666667,7885.8806,11253.197999999999,16809.239333333335,8259.022333333334,7720.3223333333335
33,92,15.0,15.0,70.0,7066.694555555554,7453.389,5183.222333333334,7034.416777777777,8656.13877777778,11437.32,17081.5,9122.972555555547,8753.250333333324
34,94,20.0,60.0,20.0,8610.821666666669,8847.988333333335,7018.905,8131.613333333334,11699.218333333332,13343.176666666666,19649.071666666667,12128.237500000001,12107.654166666667
35,98,20.0,5.0,75.0,6775.87866666667,7197.75366666667,4985.85088888889,7101.7814444444475,8281.198111111116,10946.823444444455,16247.198888888901,8484.823111111113,8113.35088888889
