,id,大豆油浓度,玉米油浓度,茶油浓度,peak:843,peak:865,peak:966,peak:1077,peak:1263,peak:1301,peak:1438,peak:1651,peak:1656
18,73,30.0,60.0,10.0,8272.942666666668,8523.630166666668,6846.859333333334,7719.817666666667,11649.731666666667,12922.858333333332,19194.274999999998,12217.671166666667,12266.858666666667
19,47,15.0,25.0,60.0,9766.958000000004,10197.596666666666,7627.805222222228,10664.624444444467,12020.8611111111,14966.803333333335,21433.596666666668,11632.734888888881,11236.554333333324
20,63,40.0,40.0,20.0,8422.841833333334,8779.175166666666,6903.196,8027.112666666667,11865.716666666667,13353.571666666669,19931.78,12452.341999999999,12480.487833333333
21,41,10.0,20.0,70.0,8689.467111111115,9125.328222222226,6298.49488888889,8490.383777777783,10493.744222222223,13955.397777777767,20834.243333333332,11036.188111111123,10565.99366666668
22,25,35.0,5.0,60.0,6197.802444444446,6598.149666666667,4697.46911111111,6279.830222222224,7996.524444444447,10062.594111111122,15129.135555555535,8426.482555555556,8158.552
23,68,30.0,50.0,20.0,8648.4375,8975.333333333334,7074.5625,8260.125,11989.375,13583.373333333331,20191.643333333337,12485.230000000001,12488.980000000001
24,67,20.0,50.0,30.0,8423.677666666666,8708.8445,6715.135166666667,8072.9896666666655,11228.323333333334,13193.470000000001,19530.00833333333,11645.178166666667,11585.78233333333
25,38,25.0,15.0,60.0,6855.198111111114,7244.5314444444475,5122.420333333334,6717.323111111116,8714.948111111113,11134.1022222222,16757.94888888887,9260.295111111112,8983.71177777778
26,23,25.0,5.0,70.0,6822.925222222224,7261.439111111114,5011.272444444447,6842.730777777783,8462.98055555556,11086.203444444434,16663.008888888868,8919.77188888888,8566.632999999989
27,42,15.0,20.0,65.0,8782.055111111113,9239.555111111114,6522.4297777777765,8770.902333333337,10853.6788888889,14061.511111111133,20896.637777777767,11282.63799999999,10860.887888888878
28,19,5.0,5.0,90.0,7978.379333333337,8435.656888888892,5576.990555555557,8123.6015555555605,9118.087444444449,12848.279999999999,19099.087777777768,9447.726000000013,8858.073222222234
29,9,2.5,5.0,92.5,5206.773866666666,5482.448866666667,3601.2907333333333,5160.623866666667,5757.848866666667,8213.4326,12223.072666666667,6007.015533333334,5600.282266666666
30,12,2.5,7.5,90.0,7567.857866666666,7992.7912,5333.0412,7904.7412,8594.299533333333,12093.475333333334,17807.516666666666,8756.949466666667,8200.199466666667
31,43,20.0,20.0,60.0,8705.688666666674,9156.18866666667,6507.174777777777,8560.216333333334,10930.925555555534,13977.244444444465,20849.88444444443,11493.855666666655,11128.425111111099
32,24,30.0,5.0,65.0,5964.696888888887,6333.9468888888905,4475.6968888888905,6028.0718888888905,7540.599666666666,9641.9881111111,14473.724444444431,7905.9052222222235,7636.294111111114
